,Media Source,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,@BBCWorld,Kylie Jenner to be youngest self-made billionaire - Forbes https://t.co/Gt1rLGmC5v,Wed Jul 11 21:26:52 +0000 2018,0,0,0,1,1
1,@BBCWorld,Guillotine sold to millionaire collector https://t.co/K1Xs28MYJ5,Wed Jul 11 21:09:38 +0000 2018,0,0,0,1,2
2,@BBCWorld,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",Wed Jul 11 20:22:15 +0000 2018,0,0,0,1,3
3,@BBCWorld,"RT @BBCSport: ET HT: #CRO 1-1 #ENG 

Both sides have come close to getting a second...

15 minutes away from penalties...

LIVE:
📱 https://…",Wed Jul 11 20:15:44 +0000 2018,0,0,0,1,4
4,@BBCWorld,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",Wed Jul 11 19:57:00 +0000 2018,-0.1027,0,0.065,0.935,5
5,@BBCWorld,"RT @bbctennis: After four hours and 47 minutes on court, Rafael Nadal is in the Wimbledon semi-finals.

He’s defeated Argentina’s Juan Mart…",Wed Jul 11 19:52:10 +0000 2018,-0.4767,0,0.129,0.871,6
6,@BBCWorld,"RT @BBCSport: FT: #CRO 1-1 #ENG 

Ivan Perisic's finish means this is far from over.

So, who's ready for another 30 minutes?

LIVE:
📱 http…",Wed Jul 11 19:50:49 +0000 2018,0.4173,0.1,0,0.9,7
7,@BBCWorld,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",Wed Jul 11 19:26:09 +0000 2018,0,0,0,1,8
8,@BBCWorld,"RT @BBCSport: England are 45 minutes away from a #WorldCup final.

This is it. #ENGCRO is back underway...

LIVE:
📱 https://t.co/NE6Uhqrvz6…",Wed Jul 11 19:04:08 +0000 2018,0,0,0,1,9
9,@BBCWorld,"RT @BBCSport: HT: #CRO 0-1 #ENG 

So far, so good for England!

Kieran Trippier's beauty of a free-kick separates the sides.

LIVE:
📱 https…",Wed Jul 11 18:46:46 +0000 2018,0.8467,0.271,0,0.729,10
10,@BBCWorld,All 11 people on board plane rescued after crash in Alaska https://t.co/oSZtRhC084,Wed Jul 11 18:28:12 +0000 2018,0.0258,0.181,0.174,0.645,11
11,@BBCWorld,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",Wed Jul 11 18:06:26 +0000 2018,0,0,0,1,12
12,@BBCWorld,"RT @BBCSport: IT'S TIME!

England's first #WorldCup semi-final since 1990 is underway! ⚽

LIVE: 
📱 https://t.co/NE6Uhqrvz6 
📻 @5liveSport…",Wed Jul 11 18:00:29 +0000 2018,0,0,0,1,13
13,@BBCWorld,Uganda social media tax to be reviewed https://t.co/Plvfn9IiD8,Wed Jul 11 17:42:26 +0000 2018,0,0,0,1,14
